listing_id,calendar_updated,from_date,availability_30,availability_60,availability_90
7914830,a week ago,2016-05-18,4,34,64
3843051,8 months ago,2016-05-18,26,56,86
4814753,3 days ago,2016-05-19,3,19,41
3953492,8 months ago,2016-05-19,26,56,86
6993775,a week ago,2016-05-19,7,14,14
4668168,yesterday,2016-05-20,6,27,53
12834834,a week ago,2016-05-20,2,17,37
7074955,2 weeks ago,2016-05-20,2,2,2
12377397,5 days ago,2016-05-20,5,5,5
2978155,a week ago,2016-05-20,2,4,4
4048378,5 weeks ago,2016-05-21,25,55,85
2087028,yesterday,2016-05-21,2,11,22
12452580,5 days ago,2016-05-21,8,30,60
6187302,yesterday,2016-05-21,14,33,42
8884899,3 weeks ago,2016-05-21,0,0,0
7294614,yesterday,2016-05-21,20,50,76
7843605,2 weeks ago,2016-05-21,1,8,19
8051878,8 months ago,2016-05-18,0,0,0
6373869,4 days ago,2016-05-17,8,28,43
6374807,a week ago,2016-05-17,5,26,39
7484068,3 weeks ago,2016-05-17,3,3,3
10640283,never,2016-05-17,30,60,90
11692342,4 weeks ago,2016-05-17,0,4,6
12810519,a week ago,2016-05-18,1,1,1
10740242,3 months ago,2016-05-18,0,0,0
1309159,8 months ago,2016-05-18,0,0,3
5806706,14 months ago,2016-05-18,0,0,0
5832793,a week ago,2016-05-18,0,0,0
9013225,yesterday,2016-05-19,1,1,17
1337012,5 months ago,2016-05-19,27,54,84
2831980,a week ago,2016-05-20,4,4,9
3917569,4 months ago,2016-05-20,0,0,0
7897978,4 months ago,2016-05-18,0,0,0
12874653,4 days ago,2016-05-20,0,0,0
4014106,5 months ago,2016-05-20,0,0,0
7699205,3 days ago,2016-05-21,0,0,0
915016,3 weeks ago,2016-05-21,8,18,32
8277792,5 weeks ago,2016-05-21,10,28,53
12492320,today,2016-05-21,15,45,75
12027224,2 weeks ago,2016-05-21,23,53,83
8390543,2 weeks ago,2016-05-17,2,6,23
9504304,a week ago,2016-05-17,0,0,15
9526750,5 months ago,2016-05-17,22,48,75
11633312,4 days ago,2016-05-18,6,19,49
204102,a week ago,2016-05-18,3,6,11
9652984,yesterday,2016-05-18,3,18,20
8982743,2 weeks ago,2016-05-18,4,7,23
8995317,2 weeks ago,2016-05-19,4,6,27
8995645,2 weeks ago,2016-05-19,4,18,38
1327856,2 days ago,2016-05-19,2,3,5
11817284,yesterday,2016-05-19,0,0,2
5903368,a week ago,2016-05-19,8,29,59
12727273,today,2016-05-19,16,42,72
8010925,2 days ago,2016-05-19,0,18,44
12242839,yesterday,2016-05-19,4,16,24
8860548,today,2016-05-20,15,42,55
8089142,4 weeks ago,2016-05-20,3,8,26
1593924,today,2016-05-18,11,21,48
5027917,5 weeks ago,2016-05-20,24,48,78
2413071,yesterday,2016-05-20,18,32,50
12901712,5 days ago,2016-05-20,0,0,27
12904077,2 weeks ago,2016-05-20,0,0,27
8757140,yesterday,2016-05-21,23,48,75
10486533,4 weeks ago,2016-05-17,1,10,13
4227809,a week ago,2016-05-17,4,9,9
74125,2 weeks ago,2016-05-17,2,2,2
5330980,6 days ago,2016-05-17,0,0,0
1197430,4 weeks ago,2016-05-17,12,30,60
8992077,6 weeks ago,2016-05-18,2,2,2
8989473,4 months ago,2016-05-18,0,0,0
6835933,4 months ago,2016-05-19,0,0,0
6436594,yesterday,2016-05-19,3,11,28
11324094,6 weeks ago,2016-05-19,7,37,67
9561078,6 weeks ago,2016-05-20,14,40,70
7204949,10 months ago,2016-05-20,0,0,0
10236626,yesterday,2016-05-20,22,52,82
3425065,2 weeks ago,2016-05-20,8,8,8
12346486,6 days ago,2016-05-20,0,22,52
12346503,1 week ago,2016-05-20,16,35,65
12346533,1 week ago,2016-05-20,20,46,76
8152544,today,2016-05-20,0,0,0
12871246,1 week ago,2016-05-20,16,35,65
9776730,5 weeks ago,2016-05-20,0,0,0
