id,name,host_id,host_name,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6448838,Sunnyside bedroom for rent,25912377,Mandy,Sunnyside,39.77858104,-105.0073912,Private room,60,1,1,6/29/2015,0.09,1,363
10000689,Private Bed & Bath... and Mountains,9391889,David,Sunnyside,39.77532208,-105.0062038,Private room,45,1,8,5/7/2016,2.4,1,155
6698984,Beautiful Denver home for families!,35065763,Robin,Sunnyside,39.77450335,-105.0107108,Entire home/apt,299,1,7,3/23/2016,0.65,1,11
12125647,"New modern town home, 2500 sq feet",14472300,Scott,Sunnyside,39.77258581,-105.0072339,Entire home/apt,189,20,0,,,1,298
698056,Your own private cottage! ,3577356,Bonnie,Sunnyside,39.77068334,-105.0104019,Entire home/apt,115,3,6,9/27/2015,0.16,2,279
12008338,Sunnyside 2bd1ba Bungalow,12008253,Rob And Amberly,Sunnyside,39.77556225,-105.0042881,Entire home/apt,120,2,0,,,1,356
2391908,Welcome to Chateau Tejon!,5952607,Will,Sunnyside,39.77447014,-105.0113034,Entire home/apt,199,2,7,5/8/2016,0.26,1,336
1360599,Designer Room in Historic Denver,1598933,Levi,Sunnyside,39.78315617,-105.0139418,Private room,40,1,7,3/30/2016,0.9,2,292
7134548,King Bed in Sunnyside Home,31615364,Jessica,Sunnyside,39.77345167,-105.0073245,Private room,49,1,27,1/1/2016,2.57,2,139
6092001,Remodeled Historic Sunnyside Home,31615364,Jessica,Sunnyside,39.77419161,-105.0076526,Entire home/apt,100,1,61,5/6/2016,5.75,2,139
7712642,Cozy and Casual - Near Downtown,19004737,Taylor,Sunnyside,39.77026681,-105.0034003,Private room,56,1,15,5/16/2016,1.6,1,0
8193192,Highlands Low Brow Bungalow,6898360,Mica,Sunnyside,39.78125074,-105.0159019,Private room,87,2,0,,,1,89
7369518,Sunnyside Highlands Garden Apt,18843692,Jamie And Ryan,Sunnyside,39.78092996,-105.0214913,Entire home/apt,99,1,26,3/15/2016,2.62,1,325
4287477,"Private Room, Close to Downtown",21544462,Angie,Sunnyside,39.7720829,-105.0019155,Private room,51,1,55,5/12/2016,2.88,2,317
3495498,REMODELED IN HIGHLANDS W/GARAGE,17599678,Mallory,Sunnyside,39.77075907,-105.0236242,Entire home/apt,150,3,28,5/9/2016,1.33,1,287
6891514,Highlands Historical Oasis,21172960,Elizabeth,Sunnyside,39.77959581,-105.0199611,Private room,59,1,0,,,1,347
10190798,Modern Townhome Near Dwntown Denver,52340701,Richard,Sunnyside,39.77529452,-105.0117003,Entire home/apt,150,2,20,4/22/2016,4.65,1,306
