id,name,host_id,host_name,zip_code,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
8947232,5 minutes walk To T Private Room!,16186589,Marie,Dorchester,42.28958573,-71.06829405,Private room,60,10,6,01-08-16,0.56,20,347
13714934,The Urban Treehouse,10085529,Joshua,Dorchester,42.31502071,-71.06252738,Entire home/apt,100,4,3,14-08-16,1.38,1,0
13687764,★ Private Room 5 Min From MBTA! Close to BCEC ★,6105673,Laurence,Dorchester,42.31826028,-71.0579328,Private room,60,1,0,,,1,0
3946215,"Simple, Quiet & Comfy. South Boston",20447366,Jason,Dorchester,42.32521458,-71.0586079,Private room,40,1,101,20-08-16,4.57,2,320
13699440,Modern 2 family close to Red line,79897849,Jones,Dorchester,42.29521626,-71.05732569,Entire home/apt,175,1,1,06-09-16,1,1,42
7246272,Stylish Bedroom Suite with Bathroom - Near Subway,19250407,Alex (And Bob),Dorchester,42.31775603,-71.06167666,Private room,108,1,37,25-08-16,3.23,1,138
6014302,Beautiful 1 Bdrm near Publ Trans.,25806655,Carols,Dorchester,42.2924911,-71.07464279,Private room,65,2,15,19-07-16,0.89,3,363
13927765,Modern Boston Home,4071493,Cynthia,Dorchester,42.2909537,-71.0675486,Entire home/apt,144,1,12,28-08-16,6.43,2,329
200265,Comfort in Historic Melville Park 2,847253,Susan,Dorchester,42.29362568,-71.06652076,Private room,79,2,118,05-09-16,1.96,3,336
7292184,Bright home with lots of character!,11544688,Mounir,Dorchester,42.29456314,-71.05566392,Private room,60,2,21,03-09-16,1.69,1,68
13443949,红线地铁JFK/UMASS 站边上的一个房间,63906798,Sulian,Dorchester,42.31673406,-71.05337817,Private room,65,1,14,23-08-16,5.12,2,325
14647962,Lovely Victorian Home,16758066,Osman,Dorchester,42.29365744,-71.06819767,Entire home/apt,185,2,0,,,1,169
8587030,Welcome to my beautiful home.,45192503,Rob,Dorchester,42.31627694,-71.06008262,Private room,150,2,29,31-08-16,2.6,1,330
3589869,Funky retreat minutes from Red Line,848964,Carissa,Dorchester,42.28550924,-71.06863201,Private room,80,1,4,10-07-16,0.96,3,93
377474,Beautiful Victorian House,119019,Hermina,Dorchester,42.29838952,-71.05931165,Entire home/apt,395,2,19,13-09-15,0.38,9,261
13236936,Comfortable room near redline MBTA subway stop!,52601623,Jean,Dorchester,42.28393321,-71.06883549,Private room,55,2,1,19-06-16,0.37,5,325
3539510,The Roseclair | 3BR 1BA | 2nd Floor,71783,Lance,Dorchester,42.32328478,-71.05985845,Entire home/apt,164,2,12,04-06-16,0.52,10,224
213086,Cozy room #2 at nice apt. in Boston,886871,Nathan,Dorchester,42.31721564,-71.05524407,Private room,70,2,22,05-09-16,0.76,4,259
8536113,Melville Park Queen Anne Victorian Home,39459066,Kensley,Dorchester,42.29640597,-71.06156265,Entire home/apt,300,1,9,25-08-16,5.87,3,5
11584799,Sunish & Giulia's Boston room on T,57812241,Alexia,Dorchester,42.29323736,-71.06401141,Private room,85,2,9,04-09-16,1.78,3,124
771309,Room for rent in shared apartment,239850,Theodore,Dorchester,42.30805304,-71.04966351,Private room,58,2,1,31-08-14,0.04,1,217
8291550,beautifully renovated 1st floor apt,43717277,Andy,Dorchester,42.29490128,-71.0577027,Entire home/apt,150,3,1,08-08-16,1,1,40
1944976,1 room with queen bed in Boston...,10060070,Diana,Dorchester,42.31160698,-71.04612722,Private room,76,2,5,06-09-15,0.3,1,0
11258721,Lovely Private Room with Air Bed,16186589,Marie,Dorchester,42.30461743,-71.07082864,Private room,37,10,4,03-09-16,0.8,20,301
3294152,"Garden apartment near subway, beach",9898255,Jessica,Dorchester,42.31490879,-71.06218834,Entire home/apt,130,2,77,01-09-16,2.89,4,329
