id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4270825,Comfy room near UT and downtown,22173222,Houston,,78751,30.305860418354825,-97.72735448542765,Private room,42,1,134,2017-03-01,4.59,1,140
17429565,Nelray Rental,117910092,Warren,,78751,30.32199850405251,-97.72381565322158,Private room,50,1,0,,,1,356
16725841,Nice Place,22949227,Gloria,,78751,30.31237261180719,-97.71256628658989,Private room,150,1,1,2017-01-13,0.56,1,0
358164,Beautiful  Private Cottage,1812799,Monica,,78751,30.3106173118047,-97.7184040609451,Private room,100,1,102,2017-02-07,1.69,1,330
17552980,SXSW king bed in NorthLoop,119113951,Witt,,78751,30.315587625118987,-97.71959050214616,Private room,90,1,0,,,2,8
8061794,North Loop Coop,42317242,Julia And Kyle,,78751,30.318717701233687,-97.71620127519017,Private room,40,1,31,2017-01-21,1.76,2,312
1928538,Spacious master in charming 2/2,9988390,G Scott,,78751,30.321309193531786,-97.72050880507454,Private room,62,2,3,2016-10-23,0.13,1,77
17573513,Master Bedroom North Loop,4446890,New,,78751,30.316656750757527,-97.71987414434531,Private room,80,1,0,,,3,0
6777032,Austin Suite Spot,9169608,Gary And Jessica,,78751,30.309147626447174,-97.71272869294043,Private room,79,2,97,2017-02-05,5.21,2,317
11658679,Casa Roja - Private 1Br 1Ba,18259508,Steph,,78751,30.309223175867395,-97.72303648562182,Private room,80,2,18,2017-02-19,1.49,2,130
12569518,Carla's spare room,68152365,Carla,,78751,30.318589247311817,-97.72802670686741,Private room,75,1,1,2016-04-26,0.09,1,0
9392278,Second Bedroom,48716678,Zack,,78751,30.311946572524118,-97.73369411070925,Private room,75,1,1,2015-11-14,0.06,1,0
17188559,Cute Modern Bedroom & Bath!,5722697,Janet,,78751,30.317725000052388,-97.72142000267655,Private room,60,1,0,,,1,347
17588282,SXSW in NorthLoop,119113951,Witt,,78751,30.314976286368708,-97.71869396192825,Private room,70,1,0,,,2,6
13865271,"Room in North Loop, Austin",20337747,Ian,,78751,30.32219135112386,-97.72474469323919,Private room,40,21,0,,,1,51
5549457,ACL Festival Bedroom Rental,9475712,Miguel,,78751,30.306353040117216,-97.72288626993601,Private room,200,1,0,,,1,0
11676995,Bedroom In Hydepark/ Northloop,59036466,Julio,,78751,30.31945910986485,-97.71866127139737,Private room,200,1,0,,,1,365
11548814,Private Bedroom with Queen Bed,55148310,Ross,,78751,30.304832866114594,-97.72469142150956,Private room,96,1,0,,,1,0
2483403,"Comfy sunny central Austin suite, come enjoy SXSW!",2225194,Ellen,,78751,30.31401853587252,-97.71546378960318,Private room,125,1,0,,,2,70
15241699,56th St BNB,40076263,Linda,,78751,30.31782773514331,-97.71185620469775,Private room,70,1,2,2016-10-23,0.40,1,179
10721158,Cozy guestroom in North Loop,54285375,Amanda,,78751,30.315226493565817,-97.72110940356201,Private room,200,2,0,,,1,180
8221372,Peaceful sunlit room in Hyde Park,43352073,Michael,,78751,30.313688928657697,-97.7225010227337,Private room,73,2,16,2017-01-01,0.90,1,251
15068671,Room + Bath In Quiet Bright 1940's Garden Home,35706551,Aaron,,78751,30.30816885175105,-97.71409887936282,Private room,70,1,5,2016-11-05,0.94,2,65
15928910,Private Room close to downtown Austin,66806127,Abhishek S,,78751,30.304858749731913,-97.71636678739436,Private room,80,1,1,2016-11-23,0.29,1,168
3709340,Private bedroom with queen bed and bathroom,8099386,Jeff,,78751,30.310481547519252,-97.71935175646018,Private room,144,2,3,2016-10-09,0.12,1,365
11679830,South By Southwest Housing,62040524,Jon,,78751,30.305121213588322,-97.72115325857948,Private room,150,1,0,,,2,0
11760278,Cute little home in Hyde Park!,62586979,Adrian,,78751,30.31473621225924,-97.7206336559656,Private room,110,1,2,2016-08-16,0.17,2,122
8456949,"7 MILES FROM ACL, on bus route!!!",36154575,Kaylee,,78751,30.31322122420082,-97.73292735611945,Private room,300,2,0,,,1,0
5252779,Beautiful Hyde Park Home Guest Room,1541934,Margo,,78751,30.30845268327656,-97.73042639908626,Private room,58,1,10,2016-09-16,0.43,3,285
12889332,The Room of Gold by Joey F.,8167447,Martin,,78751,30.323121341799766,-97.7247297831776,Private room,45,3,1,2016-07-05,0.12,50,0
5651347,SXSW: Cozy Private Room & Bath,3177756,Caroline,,78751,30.313340024698412,-97.73483088516222,Private room,150,1,0,,,2,0
11609296,1Br in Hyde Park,61451868,Kathleen,,78751,30.304318695768895,-97.71810975042587,Private room,100,1,0,,,1,0
17465147,Colorful Tree House in Hyde Park,18869256,Margo,,78751,30.311356422032272,-97.72259166631528,Private room,80,2,0,,,1,24
3125395,Room available in Hyde Park,1681295,William,,78751,30.311634582099057,-97.7228239496157,Private room,45,6,8,2016-11-06,0.24,1,316
4435703,Comfortable 1BR Convenient to All ,3363595,Willie,,78751,30.307818954507496,-97.73384624263366,Private room,160,1,0,,,1,0
15255266,Hyde Park Private Room\Full Bath,8006975,Robert,,78751,30.311403992941553,-97.71387533741719,Private room,78,1,2,2016-12-06,0.40,1,365
5164038,Cozy Loft near Downtown Austin!,17374427,Nathan,,78751,30.311371077095625,-97.72699736513152,Private room,45,5,3,2016-03-23,0.13,1,0
